,title,author,address,booktitle,note,year,volume,number,pages,pages,abstract,ISSN,ISBNs,doi,Funding Information,PDF Link,Author Keywords,IEEE Terms,keywords,series,series,series,note,note,note,note,publisher,ID
10,An Exploratory Study of Reactions to Bot Comments on GitHub,J. C. Farah; B. Spaenlehauer; X. Lu; S. Ingram; D. Gillet,"École Polytechnique Fédérale de Lausanne, Switzerland; École Polytechnique Fédérale de Lausanne, Switzerland; Nanyang Technological University, Singapore, Singapore; University of Applied Sciences, Fribourg, Switzerland; École Polytechnique Fédérale de Lausanne, Switzerland",2022 IEEE/ACM 4th International Workshop on Bots in Software Engineering (BotSE),8 Jul 2022,2022,,,18,22,"The widespread use of bots to support software development makes social coding platforms such as GitHub a particularly rich source of data for the study of human-bot interaction. Software development bots are used to automate repetitive tasks, interacting with their human counterparts via comments posted on the various discussion interfaces available on such platforms. One type of interaction supported by GitHub involves reacting to comments using predefined emoji. To investigate how users react to bot comments, we conducted an observational study comprising 54 million GitHub comments, with a particular focus on comments that elicited the laugh reaction. The results from our analysis suggest that some reaction types are not equally distributed across human and bot comments and that a bot's design and purpose influence the types of reactions it receives. Furthermore, while the laugh reaction is not exclusively used to express laughter, it can be used to convey humor when a bot behaves unexpectedly. These insights could inform the way bots are designed and help developers equip them with the ability to recognize and recover from unanticipated situations. In turn, bots could better support the communication, collaboration, and productivity of teams using social coding platforms.",,978-1-4503-9333-1,10.1145/3528228.3528409,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9814473,bots;humor;laugh;emoji;reactions;social coding platforms;GitHub,Productivity;Bot (Internet);Conferences;Collaboration;Encoding;Software;Behavioral sciences,,2.0,,33.0,,8 Jul 2022,,,IEEE,IEEE Conferences
11,Towards an Autonomous Bot for Automatic Source Code Refactoring,M. Wyrich; J. Bogner,"University of Stuttgart, Stuttgart, Germany; University of Applied Sciences Reutlingen, Germany University of Stuttgart, Germany",2019 IEEE/ACM 1st International Workshop on Bots in Software Engineering (BotSE),5 Sep 2019,2019,,,24,28,"Continuous refactoring is necessary to maintain source code quality and to cope with technical debt. Since manual refactoring is inefficient and error-prone, various solutions for automated refactoring have been proposed in the past. However, empirical studies have shown that these solutions are not widely accepted by software developers and most refactorings are still performed manually. For example, developers reported that refactoring tools should support functionality for reviewing changes. They also criticized that introducing such tools would require substantial effort for configuration and integration into the current development environment. In this paper, we present our work towards the Refactoring-Bot, an autonomous bot that integrates into the team like a human developer via the existing version control platform. The bot automatically performs refactorings to resolve code smells and presents the changes to a developer for asynchronous review via pull requests. This way, developers are not interrupted in their workflow and can review the changes at any time with familiar tools. Proposed refactorings can then be integrated into the code base via the push of a button. We elaborate on our vision, discuss design decisions, describe the current state of development, and give an outlook on planned development and research activities.",,978-1-7281-2262-5,10.1109/BotSE.2019.00015,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8823629,refactoring;bot;code smells;software quality improvement;maintainability;software evolution,Tools;Manuals;Bot (Internet);Productivity;Static analysis;Software quality,,38.0,,25.0,IEEE,5 Sep 2019,,,IEEE,IEEE Conferences
12,Bot Detection in GitHub Repositories,N. Chidambaram; P. R. Mazrae,"Software Engineering Lab, University of Mons, Mons, Belgium; Software Engineering Lab, University of Mons, Mons, Belgium",2022 IEEE/ACM 19th International Conference on Mining Software Repositories (MSR),21 Jun 2022,2022,,,726,728,"Contemporary social coding platforms like GitHub promote collaborative development. Many open-source software repositories hosted in these platforms use machine accounts (bots) to automate and facilitate a wide range of effort-intensive and repetitive activities. Determining if an account corresponds to a bot or a human contributor is important for socio-technical development analytics, for example, to understand how humans collaborate and interact in the presence of bots, to assess the positive and negative impact of using bots, to identify the top project contributors, to identify potential bus factors, and so on. Our project aims to include the trained machine learning (ML) classifier from the BoDeGHa bot detection tool as a plugin to the GrimoireLab software development analytics platform. In this work, we present the procedure to form a pipeline for retrieving contribution and contributor data using Perceval, distinguishing bots from humans using BoDeGHa, and visualising the results using Kibana.",2574-3864,978-1-4503-9303-4,10.1145/3524842.3528520,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9796354,,Bot (Internet);Pipelines;Data visualization;Machine learning;Organizations;Encoding;Data mining,,,,7.0,,21 Jun 2022,,,IEEE,IEEE Conferences
13,A Dataset of Bot and Human Activities in GitHub,N. Chidambaram; A. Decan; T. Mens,"Software Engineering Lab, University of Mons, Mons, Belgium; Software Engineering Lab, University of Mons, Mons, Belgium; Software Engineering Lab, University of Mons, Mons, Belgium",2023 IEEE/ACM 20th International Conference on Mining Software Repositories (MSR),12 Jul 2023,2023,,,465,469,"Software repositories hosted on GitHub frequently use development bots to automate repetitive, effort intensive and error-prone tasks. To understand and study how these bots are used, state-of-the-art bot identification tools have been developed to detect bots based on their comments in commits, issues and pull requests. Given that bots can be involved in many other activity types, there is a need to consider more activities that they are carrying out in the software repositories they are involved in. We therefore propose a curated dataset of such activities carried out by bots and humans involved in GitHub repositories. The dataset was constructed by identifying 24 high-level activity types that could be extracted from 15 lower-level event types that were queried from GitHub’s event stream API for all considered bots and humans. The proposed dataset contains around 834K activities performed by 385 bots and 616 humans involved in GitHub repositories, during an observation period ranging from 25 November 2022 to 9 March 2023. By analysing the activity patterns of bots and humans, this dataset could lead to better bot identification tools and empirical studies on how bots play a role in collaborative software development.",2574-3864,979-8-3503-1184-6,10.1109/MSR59073.2023.00070,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10173999,software development;bot activity;dataset;GitHub event stream;empirical analysis,Codes;Collaborative software;Chatbots;Software;Distance measurement;Data mining;Task analysis,,1.0,,14.0,IEEE,12 Jul 2023,,,IEEE,IEEE Conferences
14,Should I Stale or Should I Close? An Analysis of a Bot That Closes Abandoned Issues and Pull Requests,M. Wessel; I. Steinmacher; I. Wiese; M. A. Gerosa,"University of Sao Paulo, Sao Paulo, SP, Brazil; Northern Arizona University, Flagstaff, AZ, USA; Fed. Univ. of Technology, Parana, Campo Mourao, PR, Brazil; Northern Arizona University, Flagstaff, AZ, USA",2019 IEEE/ACM 1st International Workshop on Bots in Software Engineering (BotSE),5 Sep 2019,2019,,,38,42,"On GitHub, projects use bots to automate predefined and repetitive tasks related to issues and pull requests. Our research investigates the adoption of the stale bot, which helps maintainers triaging abandoned issues and pull requests. We analyzed the bots' configuration settings and their modifications over time. These settings define the time for tagging issues and pull request as stale and closing them. We collected data from 765 OSS projects hosted on GitHub. Our results indicate that most of the studied projects made no more than three modifications in the configurations file, issues tagged as bug reports are exempt from being considered stale, while the same occurs with pull requests that need some input to be processed.",,978-1-7281-2262-5,10.1109/BotSE.2019.00018,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8823598,"bots, open source software, abandoned issues",Computer bugs;Bot (Internet);Task analysis;Open source software;Labeling;Tagging;Indexes,,21.0,,20.0,IEEE,5 Sep 2019,,,IEEE,IEEE Conferences
15,Detecting Bot on GitHub Leveraging Transformer-based Models: A Preliminary Study,J. Zhang; X. Wu; Y. Zhang; S. Xu,"Hunan Normal University, Changsha, China; Hunan Normal University, Changsha, China; National University of Defense Technology, Changsha, China; Hunan Normal University, Changsha, China",2023 30th Asia-Pacific Software Engineering Conference (APSEC),2 Apr 2024,2023,,,639,640,"Bots are prevalent contributors in collaborative software development, necessitating accurate detection techniques. This preliminary study aims to leveraging public datasets and Transformer-based models (i.e., BERT, CodeBERT, RoBERTa, BART, and PLBART) for the bot detection task. Our experimental result reveals that CodeBERT achieves the highest performance, with an impressive accuracy score of 94.1%.",2640-0715,979-8-3503-4417-2,10.1109/APSEC60848.2023.00087,"National Natural Science Foundation of China(grant numbers:62141209,61972055); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10479365,GitHub;Bot detection;DL models,Collaborative software;Chatbots;Transformers;Task analysis;Software engineering;Software development management,,,,11.0,IEEE,2 Apr 2024,,,IEEE,IEEE Conferences
16,BotHunter: An Approach to Detect Software Bots in GitHub,A. Abdellatif; M. Wessel; I. Steinmacher; M. A. Gerosa; E. Shihab,"Concordia University, Montreal, Canada; Delft University of Technology, Delft, Netherlands; Universidade Tecnológica Federal do Paraná, Campo Mourão, Brazil; Northern Arizona University, Flagstaff, USA; Concordia University, Montreal, Canada",2022 IEEE/ACM 19th International Conference on Mining Software Repositories (MSR),21 Jun 2022,2022,,,6,17,"Bots have become popular in software projects as they play critical roles, from running tests to fixing bugs/vulnerabilities. However, the large number of software bots adds extra effort to practitioners and researchers to distinguish human accounts from bot accounts to avoid bias in data-driven studies. Researchers developed several approaches to identify bots at specific activity levels (issue/pull request or commit), considering a single repository and disregarding features that showed to be effective in other domains. To address this gap, we propose using a machine learning-based approach to identify the bot accounts regardless of their activity level. We selected and extracted 19 features related to the account's profile information, activities, and comment similarity. Then, we evaluated the performance of five machine learning classifiers using a dataset that has more than 5,000 GitHub accounts. Our results show that the Random Forest classifier performs the best, with an F1-score of 92.4% and AUC of 98.7%. Furthermore, the account profile information (e.g., account login) contains the most relevant features to identify the account type. Finally, we compare the performance of our Random Forest classifier to the state-of-the-art approaches, and our results show that our model outperforms the state-of-the-art techniques in identifying the account type regardless of their activity level.",2574-3864,978-1-4503-9303-4,10.1145/3524842.3527959,"National Science Foundation(grant numbers:1815503,1900903); CNPq(grant numbers:313067/2020-1); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9796262,Software Bots;Empirical Software Engineering,Bot (Internet);Feature extraction;Transformers;Software;Encoding;Data mining;Time factors,,5.0,,53.0,,21 Jun 2022,,,IEEE,IEEE Conferences
17,How Do Software Developers Use GitHub Actions to Automate Their Workflows?,T. Kinsman; M. Wessel; M. A. Gerosa; C. Treude,"University of Adelaide, Australia; University of São Paulo, Brazil; Northern Arizona University, USA; University of Adelaide, Australia",2021 IEEE/ACM 18th International Conference on Mining Software Repositories (MSR),28 Jun 2021,2021,,,420,431,"Automated tools are frequently used in social coding repositories to perform repetitive activities that are part of the distributed software development process. Recently, GitHub introduced GitHub Actions, a feature providing automated work-flows for repository maintainers. Although several Actions have been built and used by practitioners, relatively little has been done to evaluate them. Understanding and anticipating the effects of adopting such kind of technology is important for planning and management. Our research is the first to investigate how developers use Actions and how several activity indicators change after their adoption. Our results indicate that, although only a small subset of repositories adopted GitHub Actions to date, there is a positive perception of the technology. Our findings also indicate that the adoption of GitHub Actions increases the number of monthly rejected pull requests and decreases the monthly number of commits on merged pull requests. These results are especially relevant for practitioners to understand and prevent undesirable effects on their projects.",2574-3864,978-1-7281-8710-5,10.1109/MSR52588.2021.00054,Coordenação de Aperfeiçoamento de Pessoal de Nível Superior; Australian Research Council; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9463074,GitHub Actions;GitHub Bots;Automated work-flow;Regression Discontinuity Design,Tools;Encoding;Data models;Planning;Data mining;IEEE activities;Open source software,,34.0,,37.0,IEEE,28 Jun 2021,,,IEEE,IEEE Conferences
18,Suggestion Bot: Analyzing the Impact of Automated Suggested Changes on Code Reviews,N. Palvannan; C. Brown,"Department of Computer Science, Virginia Tech, Virginia, USA; Department of Computer Science, Virginia Tech, Virginia, USA",2023 IEEE/ACM 5th International Workshop on Bots in Software Engineering (BotSE),27 Jul 2023,2023,,,33,37,"Peer code reviews are crucial for maintaining the quality of the code in software repositories. Developers have introduced a number of software bots to help with the code review process. Despite the benefits of automating code review tasks, many developers face challenges interacting with these bots due to non-comprehensive feedback and disruptive notifications. In this paper, we analyze how incorporating a bot in software development cycle will decrease turnaround time of pull request. We created a bot called “SUGGESTION BOT” to automatically review the code base using GitHub’s suggested changes functionality in order to solve this issue. A preliminary comparative empirical investigation between the utilization of this bot and manual review procedures was also conducted in this study. We evaluate SUGGESTION BOT concerning its impact on review time and also analyze whether the comments given by the bot are clear and useful for users. Our results provide implications for the design of future systems and improving human-bot interactions for code review.",,979-8-3503-0212-7,10.1109/BotSE59190.2023.00015,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10190399,Pull Requests;Peer Code Reviews;Code Review Bot;Suggested changes,Codes;Conferences;Manuals;Chatbots;Software;Task analysis;Faces,,3.0,,22.0,IEEE,27 Jul 2023,,,IEEE,IEEE Conferences
19,On Twitter Bots Behaving Badly: A Manual and Automated Analysis of Python Code Patterns on GitHub,A. Millimaggi; F. Daniel,"Politecnico di Milano, Milan, Italy; Politecnico di Milano, Milan, Italy",Journal of Web Engineering,22 Sep 2023,2019,18.0,8.0,801,835,"Bots, i.e., algorithmically driven entities that behave like humans in online communications, are increasingly infiltrating social conversations on the Web. If not properly prevented, this presence of bots may cause harm to the humans they interact with. This article aims to understand which types of abuse may lead to harm and whether these can be considered intentional or not. We manually review a dataset of 60 Twitter bot code repositories on GitHub, derive a set of potentially abusive actions, characterize them using a taxonomy of abstract code patterns, and assess the potential abusiveness of the patterns. The article then describes the design and implementation of a code pattern recognizer and uses the pattern recognizer to automatically analyze a dataset of 786 Python bot code repositories. The study does not only reveal the existence of 28 communication-specific code patterns - which could be used to assess the harmfulness of bot code - but also their consistent presence throughout all studied repositories.",1544-5976,,10.13052/jwe1540-9589.1883,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10247296,Bots;Harm;Abuse;Code patterns;Pattern recognition;GitHub;Twitter;Python,Codes;Social networking (online);Blogs;Taxonomy;Oral communication;Manuals;Chatbots,,1.0,,17.0,,22 Sep 2023,,,River Publishers,River Publishers Journals
